Location,Establishment ,Address ,Website
North End/ Garden,Hurricane O Reilly's (Glynn Group),"150 Canal St, Boston, MA 02114",http://www.hurricaneoreillysboston.com/
North End/ Garden,The Grand Canal,"57 Canal St, Boston, MA 02114",http://grandcanalboston.com/
North End/ Garden,Four Winds Bar and Grille,"266 Commercial St, Boston, MA 02109",http://www.fourwindsbarandgrill.com/
Seaport/Waterront,Atlantic Beer Garden,"146 Northern Ave, Boston, MA 02210",http://www.atlanticbeergarden.com/
Seaport/Waterront,Whiskey Priest,"150 Northern Ave, Boston, MA 02210",http://whiskey-priest.com/
Seaport/Waterront,Drink,"348 Congress St, Boston, MA 02210",http://drinkfortpoint.com/
Seaport/Waterront,75 on Liberty Wharf,"220 Northern Ave, Boston, MA 02210",http://75onlibertywharf.com/
Seaport/Waterront,Sam's,"60 Northern Ave, Boston, MA 02110",http://samsatlouis.com/
Seaport/Waterront,Luckys Lounge,"355 Congress St, Boston, MA 02210",http://luckyslounge.com/
Seaport/Waterront,MJ O Connors,"425 Summer St, Boston, MA 02210",http://www.mjoconnors.com/
Seaport/Waterront,Empire,"1 Marina Park Dr, Boston, MA 02210",http://www.empireboston.com/
Seaport/Waterront,Gather," 75 Northern Ave, Boston, MA 02210",http://gatherboston.com/
Seaport/Waterront,Tavern Road,"343 Congress St, Boston, MA 02210",http://tavernroad.com/
Seaport/Waterront,The Landing,"1 Long Wharf, Boston, MA 022110",http://www.bostonharborcruises.com/the-landing-at-long-wharf/
Seaport/Waterront,Tia's,"200 Atlantic Ave, Boston, MA 02109",http://www.tiaswaterfront.com/
Seaport/Waterront,The living room,"101 Atlantic Ave, Boston, MA 02110",http://thelivingroomboston.com/
Seaport/Waterront,Sail Loft,"80 Atlantic Ave, Boston, MA 02110",http://www.thebostonsailloft.com/
Seaport/Waterront,Savvor Restaurant and Lounge,"180 Lincoln St, Boston, MA 02111",http://www.savvorbostonlounge.com/
Seaport/Waterront,District,"180 Lincoln St Boston, MA 02111",
